Episode,Reward
217,-50110702.60909623
218,-112539.766740269
219,-112626.99373835856
220,-50111853.82578648
221,-50111456.49945561
222,-50110052.166631974
223,-112529.58873733724
224,-50111194.400064476
225,-112529.58873733724
226,-112529.58873733724
227,-100109967.13544396
228,-112532.46086943331
229,-112529.58873733724
230,-112617.65887739476
231,-112546.28142894247
232,-50110666.1763277
233,-112529.58873733724
234,-50110506.919282295
235,-112567.38255356085
236,-112546.27135641889
237,-50110506.919282295
238,-112529.58873733724
239,-50111259.6222962
240,-112714.45506552869
241,-113033.41312601183
242,-113148.4582225585
243,-50110447.76256666
244,-112714.45506552869
245,-112709.71924218154
246,-112529.58873733724
247,-50111278.480024815
248,-50110483.242857695
249,-113082.85569686958
250,-112559.9898856846
251,-50110077.3155184
252,-112448.78012834095
253,-112529.58873733724
254,-112448.78012834095
255,-112379.85938084028
256,-112379.85938084028
257,-50110227.73374465
258,-112448.78012834095
259,-112379.85938084028
260,-50110144.84062524
261,-112974.45506552869
262,-113006.06898148917
263,-113006.06898148917
264,-112992.92189491238
265,-50111071.14911485
266,-113006.06898148917
267,-113006.06898148917
268,-112596.57023451869
269,-112971.31220838583
270,-113087.57576075278
271,-112470.02441191189
272,-112915.57999562827
273,-113027.2386031792
274,-112994.00206860904
275,-112975.67735749882
276,-100109821.00281443
277,-112938.7407798144
278,-112447.18758251505
279,-50111225.14781553
280,-50111145.079667635
281,-112488.88941584837
282,-112903.15618495738
283,-113190.17016523003
284,-113006.06898148917
285,-50111538.411746494
286,-50111588.86331119
287,-113006.06898148918
288,-113006.06898148917
289,-113006.06898148917
290,-112989.00149587021
291,-112464.27993361073
292,-50110257.71826819
293,-112473.42815112259
294,-50111160.58328188
295,-112379.85938084028
296,-112379.85938084028
297,-112379.85938084028
298,-112379.85938084028
299,-112379.85938084028
300,-50111275.36156606
301,-50110618.00782567
302,-50109725.42794876
303,-112794.3094075376
304,-50111720.62970894
305,-112949.0397198177
306,-112388.9937997841
307,-112379.85938084028
308,-50110166.018752255
309,-112384.25170000514
310,-112724.74238605998
311,-113060.83542216405
312,-112889.97414776907
313,-112529.58873733724
314,-112632.20032731391
315,-112430.0308864868
316,-112448.82583867236
317,-112747.78251379188
318,-112556.73183948465
319,-112379.85938084028
320,-112379.85938084028
321,-50110084.70617407
322,-112938.7407798144
323,-112862.14435490032
324,-112797.28474430829
325,-113026.70552815813
326,-50111556.52870572
327,-112881.73558520034
328,-113023.08989726975
329,-112447.18758251505
330,-112938.74077981438
331,-113006.06898148917
332,-50111298.75534728
333,-50110979.1508916
334,-50110718.94564624
335,-113226.64615903715
336,-113051.81560737331
337,-113166.70920923444
338,-113220.21350480804
339,-113129.6908013389
340,-113109.7192098326
341,-113076.84841164283
342,-113136.45745776701
343,-113237.04636975574
344,-113002.0109031521
345,-112550.01310847804
346,-112700.48286219957
347,-112981.76033463737
348,-112447.18758251505
349,-112748.93378970944
350,-112525.4115047771
351,-112495.5583644866
352,-50110142.52382517
353,-112810.53293576546
354,-113133.79950886275
355,-50111094.540096015
356,-113156.52900263092
